,stars,body
10,5,"Literally just received the iron and instantly loved it. It works really well. The steam is perfect and enough for every day wear type of clothes. I did notice that when I used the sprayer to spray, water leaked all over and figured out that the sprayer is plugged. I’m not sure if it’s a manufacturer defect but I’m gonna have to get it replaced. Other than that the iron works great. Definitely recommend.Update: iron was immediately replaced by amazon and I now have complaints. Everything works well! Thanx Amazon!"
11,5,"I don't know if I am a certified customer, but I DID buy this iron from Amazon long ago.This is one seriously good buy that I have made. My mother thought I was nuts to spend this much on a steam iron, but this one really does what it is supposed to do and does it well. Now that I have it, I am really glad.My previous iron would turn off after a few minutes, leaving me constantly frustrated waiting for it to reheat after a quick trip to the sewing machine. This iron will stay hot. I do not know exactly how long, but after about one half hour or so it does beep to remind you that is still on. If you leave it turned on and facedown, it will beep after a few minutes.This iron really brings the heat, and it brings the steam as well, making short work out of yards of wrinkled cotton duck canvas, yet it has a delicate touch when turned to the ""synthetic"" or ""silk"" settings. This is a relatively heavy iron, so it does the work for you, not leaving you to push it into the fabric trying to get the effect you want.There are several accessories that you'll want to have in addition to the iron. One is a delicate teapot or a small funnel for getting water into the steam tank opening. The steam tank holds a good bit of water, but it will overflow if you put too much in. No harm done; you just have some water to mop up. The tank holds about 300 mL, or a little over a cup. Be ready to refill often if you are using the steam setting.Another item you will want to have is an iron cleaning kit. This is an awesome iron, and it does not get sticky easily, but it is a fact of life that all irons will encounter gunk eventually, particularly if you are working with starch. I use a kit made by Rowenta, and it has held out for years. It has a tube of cleaning compound, a rag for applying it to the iron's sole, and a last rag for polishing the sole of the iron when you are done cleaning. When you get the kit, read the directions for more specific details.The last tool I find handy is a hair mister. You will find one listed as a beauty product. It sprays a very fine mist on the fabric you are working on and you can control the density of the mist by the distance that you hold the tool. There is a sprayer mounted on the iron, but the spray it puts out is  anemic and difficult to place where you need the water. So do yourself a favor and pick up a hairspray out from the beauty department. I have two of them!Please watch your left hand if you are right-handed. I was holding some fabric down with my left hand while I was ironing, and by accident I tipped the iron in the direction of my left hand. The burn I inflicted on my left index finger was something to behold. The day after the burn, it blistered to the point where the blister popped. At that point I kept it under a Band-Aid for a number of days until the burn healed enough to do without a Band-Aid. I almost nailed my thumb a little while later, but I put ice on it right away and I must not have gotten that much steam on it because it only hurt a little bit for a few days. Forgive me if this is too much information, but you really need to know. If you are left-handed, keep an eye on your right hand. While I am on the topic of hands, I might as well mention that this iron is ambidextrous. You may use it equally with either hand.If you are serious about your sewing, get this iron. If you are just starting out and you have the money, get this iron. If you have kids around, maybe get a different iron, one that turns off right away when you leave it. This includes most irons. If you are just starting out and you do not get this iron, eventually you might want to upgrade. I'm just saying."
12,5,"It is frustrating to need the iron and find it cold when quilting.  This one stays hot (and I mean hot, not warm)  for 30 minutes.  To start the timer merely set it on its butt and the timer starts.  The part I really like is that this iron has a beeper that tells you it is about to turn itself off.  I hear the beep, and stop piecing long enough to lay the iron face down and then back on its butt again, which starts another 30 minute cycle.  If I can't get to the iron when the beeper goes off and it gets cold... I merely change the position and it is hot almost immediately."
13,5,"I bought this Chi Iron for my sewing room. I wanted a Rowenta level iron, but have been concerned with the negative reviews on their irons recently. My setup uses a silicone iron rest and a large wool pressing mat on the end of my large work table. When it first arrived I set it up and was impressed with hot fast it heated. This iron is more wattage than I’ve owned previously. I get a small amount of dimming on lights that are plugged into my outlets, but I expected that. I sew with mostly woven fabrics of varying weights, linen and cotton. I filled the water tank. Steamed up a wrinkled linen. Not “insanely crisp” after one pass but not wrinkled. But it was leaking from the handle right below the water tank lid. I emptied the while thing out, refilled carefully. Aaaand leaking again. I messaged Amazon and they had a replacement at my house the next day. I was able to choose my local Whole Foods for the returned package and dropping it there was easy peasy. The counter was at the front of the store, they scanned the barcode in my Amazon App and showed me the confirmation on their end. Three seconds. And I needed bread so that was perfect. The second iron worked just as great with no leaking at all. I’ve been using it a month now and I am still in love with it. Best features: Heats fast fast fast, from cold to whatever temp you pick. Water tank holds a lot of water and is easy to see where the water level is located. Steam is fantastic. Buttons are easy to push and the cap for the water flips up easily. (My last iron had a water cap that was more like a secret door because it was so hard to open without a nail file or something tiny) Oh and it’s easy to see what setting and if the iron is on from far away because of the light at the base of the handle and the large letters on the settings that light up. Oh, AND the cord is so long I can plug it in 5 feet away and still have room to navigate.Cons: Small hole for water. See photos, I use my tiny watering can and it’s perfect!! The nose of the iron isn’t quite as thin as I wanted, but it is still okay.See photos for visuals. 💕"
14,5,"I’m a quilter.  I have my iron on for hours at a time, run a ton of water through the steam and use it daily.  I’m an iron killer!  I’ve tried everything from the high end brands to what I consider disposable ones.I’ve only had this one for a short time, but I’m in love with this iron!!  It presses amazingly well.  The steam is great and it holds a fair amount of water in the tank.  It heats fast, stays in for 30 minutes before auto shut off kicks in.  Now, to test the longevity!  Hoping that the Iron Killer has met her match!"
15,5,"Great iron! I'm besotted with it. Yes, it gurgles a bit, but it doesn't leak like my Rowenta. And I don't have to use that creepy, expensive soleplate cleaner because this one is ceramic! I use ONLY distilled water and recommend that strongly. The trouble and cost is negligible next to the mineral build-up that's inevitable with tap water. This iron heats up very quickly to the correct temperature, and it doesn't turn itself off if you walk over to the sewing machine for three minutes--it stays on for a half hour! This makes a huge difference to someone who sews and must iron at every step. The steam production is good, the soleplate glides quite smoothly over fabric, the iron is heavy enough to do some of the work for you but not too heavy. I love it. Oh, and product support for CHI is good. It takes a while for customer service to reply, but they do and they're thorough."
16,5,"I bought this iron recently after suffering through 5 miserable years with a German-made Rowenta.  It should be noted that I'm not a quilter and I use this iron primarily to iron dress shirts for work.  With that said, this thing heats up quickly and doesn't piss water all over my shirts like the Rowenta used to.  It's a bit lighter (and smaller) than the Rowenta but honestly, that's a non-issue.  Also, I really like the teflon soleplate as it keeps the iron from getting hung up on my cotton shirts.  We'll see how it holds up but so far so good!UPDATE: Just want to add a few additional points, one pro and two minimal cons.  I'll start with the good, the extra long cord is really great.  The two minor cons thus far are: 1) As far as I can tell, there's no way to tell when the iron is heating up since the red light is always on, not just when it's heating and, 2) It's very easy to hit the steam adjustment lever (which will turn the steam off if you're right handed) when grabbing the iron.  Minor annoyances but would definitely buy again!"
17,5,"So far so good, I really can't comment on longevity but so far I am liking this iron.  I bought it to replace a leaking Rowenta, and this one does the job for me and doesn't spit water all over my clothes.  It has so many steam holes and is even lighter than the Rowenta.  At first I was worried the lack of weight would impact ironing, but I don't believe this is the case.  My favorite thing about this iron, though, is the long cord.  This has made me LOVE this iron, because my other one was very difficult to maneuver in certain positions because the cord length was 2' shorter.  I don't know if it's clear which model I bought, but I did not get the retractable cord one because I wanted extra length and to save money.  All in all I am liking this iron.  Now I just hope it lasts."
18,5,"After 3 years of use, this iron is still an excellent performer.The coating on the bottom has not worn off with almost daily use during the work week.  It maintains great temperature and steams well.  It does work with softened water - in fact we use softened and RO filtered water in ours and it functions perfectly.  I've read that some irons struggle with softened water and this one has no issues with it.As mentioned in other reviews, the steam setting lever is easy to bump but once you get used to the iron you will not bump it.  It also doesn't leak water when tipping it back and forth.  Other reviewers may have had a defective unit with that issue.We have had a couple of accidental drops off of the ironing board and the unit didn't suffer any damage.I highly recommend this iron - my wife and I use it a lot."
19,5,"I'm a seamstress who uses an iron all day every day. I've lost count at how many other brands I've tried that either perform poorly and/or die after a short period of time. This iron is the best investment ever! Steams amazing, the curved tip is perfect for seams/narrow places, and I love the fact it doesn't shut off every 5 minutes & having to wait to reheat. I'm sure it would work outstanding for clothes too, but who has time for that?! ;)"
20,5,"The steam really comes out . You can even use it as a steamer on clothes you don't want to iron - or curtains/dressesI can't say I enjoy ironing but I have a lot of clothes I have to iron in my family and this has made it so much nicerIt's worth the price , I've had it about 2 monthsAnd as long as it lasts , it's very worth itAnd it does seem very solid and well builtSo I truly think it will be worth itI've bought irons for around $25 - irons that are too light or take forever to get hot , ruin shirts etc.This is the nicest iron I've ever had and I only regret not buying it soonerBuying those cheaper irons was a waste"
21,5,"I have spent about a week trying to find the right way to explain my experience with this iron.Let me begin by explaining my past ironing experiences.  I buy a steam iron and get to work, it spurts a little steam and that's it.  Now I have hot wrinkles in my clothes, that cause me to grind the iron harder into the fabric in frustration.  Perturbed by the lack of steam, I set out pushing that god awful steam shot button until my thumb develops carpel tunnel symptoms.  Ironing, I think to myself, is a pointless chore that is designed to mimic a level of hell.  Enter the Chi Steam Iron.At first use, I crank the steam setting up to the highest it will go.  Within a matter of minutes, the room is full of steam, the windows are moist and I'm beginning to sweat (my pores opened really well, though).  Realizing that this was no ordinary steam iron, I reduce the level of steam and set about my task.  Within moments the wrinkles are gone, as if they saw the advancing army of steam across the horizon and decided to retreat in fear.The iron glides across my clothes, removes the wrinkles with ease, and even freshens the fabric, helping make it smooth and supple.  This iron is no normal iron.  This iron takes the hell-like chore of removing wrinkles from one's clothing and turns it into a mild chore that one can complete in a matter of moments.Gone are the days of pain inducing pressing of the steam button.  Gone are the days of fighting with clothes and ironing.  Happy days are here again, my friends.  All thanks to the Chi Steam Iron, a mythic weapon in the ever revolving war against non-pressed clothes."
22,5,"I was not sure about spending 59.00 for an iron, but after seeing a review on the top 8 irons sold I chose this one (which was the #2 in the reviews) due to the quantity of steam holes, the see through water compartment, the fact that it turns off sitting on it's heal after 30 minutes and beeps when it is turning off. I just wish it had an on/off button so when I'm finished for the day I could just push the button instead of getting under the table to unplug it. I chose the #2 in the reviews because I thought the best one was really ugly & the difference of steam holes wasn't enough to make a difference. It's a little heaver than my last iron, but I like the weight of the iron, it doesn't tip as easy & I don't need as much pressure to get the wrinkles out of my fabric. I would definitely recommend this iron."
23,5,"I had a Rowenta iron for several years and I liked it until it started to leak.  I had been told by my quilting teacher that irons took distilled water and my German made Rowenta evidently didn’t (according to them when I called to complain and the paperwork with it actually did say tap water only).  Anyway, my mother gave me a sunbeam cheap iron and it wasn’t very good but I wasn’t doing heavy sewing with it so I kept it a few years.  I recently decided to make my children each a quilt for their beds and had to get a new iron.  After much research I chose this one.  I am very pleased!  It takes distilled or tap water and suggests using both.  The steam function I wasn’t too sure about at first but I think that was just an initial use thing because it makes ironing all this cotton calico so very easy now!  I have used it on synthetics as well and it did great!  I love the ball and socket joint of the electrical cord.  I also like that it came with a Velcro strap to wrap up the cord.  The disks are all it great places!! I will update if there is anything I don’t like but so far I am very pleased!UPDATE : Iron worked well - until it didn't.  I have used it pretty hard for 3 weeks quilting and it is leaking brown/orange rusty water all over our carpeting.  I am so thankful it started doing it before we get new carpet in a few weeks.  I am not happy.  Returning it and looking for something better."
24,5,It looks just like the picture and all of the descriptions are correct. I previously had the more expensive version of the same iron which was much larger and weighted more than this one which lasted only 3 years but we liked it. the wiring started going flaky but worth fixing at some point until then I decided to get the less expensive though still a chunk of change hoping the only difference would how the iron turned on and the wired didn't auto retract. Unfortunately it is also unimpressively smaller and I don't think it's worth the money.
25,5,"This iron is so good. Makes ironing a breeze and crushes seams that have multiple coming together.  Perfect for quilting.A couple notes:As stated in an earlier review it is very easy to hit the steam gauge with your hand and move it a couple clicks by accident but its not a big deal.A little bit of white residue comes off the iron at first use, it comes off the fabric really easily.I don't have trouble reading the water level.  Its much darker where the water is, so its pretty visible."
26,5,"Bought this to replace a Rowenta (made in Germany) iron which had failed.  I had not heard of the CHI brand, but upon research, seems they have been in the personal care business for a while.  Irons seem to be a newer category that they have entered.I was surprised by how light this was.  I am used to having a ""heavy"" iron, and always equated ""heavy"" as ""good"", but this iron seems to work well.  The steam works well, and does a good job with ironing.  The water doesn't leak from the iron.  The Rowenta would leak if placed flat on the ironing board if it was off.  The water in the reservoir would also slowly evaporate, so that I would have to fill it each time I used it, which was almost every day.  This iron seems to retain the water longer.  The sole plate doesn't stick.I like the fact that the on light can be seen on both sides of the iron.  I am left handed, and have always struggled with irons which only have the light on the side facing a right handed user!  Now I don't have to flip the iron around to see if it is on.  The controls are a bit inconvenient, because they are on the top of the body, between the handle and the body.  That means, to adjust any settings, you have to sit the iron down, take your hand off the handle, and them make the adjustment.  The steam dial is concentric with the heat dial, which makes it difficult to adjust as you are using the iron, and that is why I took stars off from ease of use.  Other irons I have used have some of the controls on the top of the handle."
27,1,"Within using this iron just a few times, the steaming feature began to work erratically. Sometimes it wouldn't steam at all and then later it would continue to steam while ironing and while sitting in the upright position. I've always bought irons with the non-stick surface, however, there was a spot about the size of a quarter that seemed to stick to clothes when ironing. I can only guess that this spot was overheating compared to the rest of the bottom plate, because it eventually burned a shirt and the material was only stuck to that one spot. I have purchased other major brands that have performed well. I will never buy a Chi product again. Perhaps I just got a lemon, but it's not worth taking the risk!"
28,5,"I have had a number of irons across the years, but this model has been my favorite. It's lightweight and the soleplate rarely gets dirty (problem I had with other irons because I use spray starch).Here is my word to the wise: EMPTY the reservoir after each use. Not doing so made me have to scrap my first one and buy new. The instructions say this iron is made for tap water, but you really must empty before you store or you will eventually have very dirty steam on your clean items. UGH.I recommend this lightweight iron!"
29,5,"I am old school. In 30 years I’ve had countless irons, costing up to $$$,  made in Germany etc., and this one is the best ever. I love the heat especially.  I use distilled water and four years later it’s still amazing. I wore the Teflon off the soul plate, but it still works great"
